date,long_bond_share_of_defensive,floating_share_of_defensive,total_bond_cash_weight
1974-01-18,0.7500000000000001,0.2499999999999999,0.44999999999999984
1974-01-25,0.7500000000000001,0.2499999999999999,0.44999999999999984
1974-02-01,0.7500000000000001,0.2499999999999999,0.44999999999999984
1974-02-08,0.7500000000000001,0.2499999999999999,0.44999999999999984
1974-02-15,0.7500000000000001,0.2499999999999999,0.44999999999999984
1974-02-22,0.7500000000000001,0.2499999999999999,0.44999999999999984
1974-03-01,0.5,0.5,0.4499999999999998
1974-03-08,0.5,0.5,0.4499999999999998
1974-03-15,0.5,0.5,0.4499999999999998
1974-03-22,0.5,0.5,0.4499999999999998
1974-03-29,0.5,0.5,0.4499999999999998
1974-04-05,0.5,0.5,0.4499999999999998
1974-04-12,0.5,0.5,0.4499999999999998
1974-04-19,0.5,0.5,0.4499999999999998
1974-04-26,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-05-03,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-05-10,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-05-17,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-05-24,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-05-31,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-06-07,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-06-14,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-06-21,0.0,1.0,0.4499999999999999
1974-06-28,0.0,1.0,0.4499999999999999
1974-07-05,0.0,1.0,0.4499999999999999
1974-07-12,0.0,1.0,0.4499999999999999
1974-07-19,0.0,1.0,0.4499999999999999
1974-07-26,0.0,1.0,0.4499999999999999
1974-08-02,0.0,1.0,0.4499999999999999
1974-08-09,0.0,1.0,0.4499999999999999
1974-08-16,0.0,1.0,0.4499999999999999
1974-08-23,0.0,1.0,0.4499999999999999
1974-08-30,0.0,1.0,0.4499999999999999
1974-09-06,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-09-13,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-09-20,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-09-27,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-10-04,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-10-11,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-10-18,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-10-25,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-11-01,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-11-08,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-11-15,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-11-22,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-11-29,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-12-06,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-12-13,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-12-20,0.2499999999999999,0.7500000000000001,0.44999999999999984
1974-12-27,0.2499999999999999,0.7500000000000001,0.44999999999999984
1975-01-03,0.5,0.5,0.646420974363617
1975-01-10,0.5,0.5,0.646420974363617
1975-01-17,0.5,0.5,0.646420974363617
1975-01-24,0.5,0.5,0.646420974363617
1975-01-31,0.5,0.5,0.646420974363617
1975-02-07,0.5,0.5,0.646420974363617
1975-02-14,0.5,0.5,0.646420974363617
1975-02-21,0.5,0.5,0.646420974363617
1975-02-28,0.75,0.24999999999999992,0.646420974363617
1975-03-07,0.75,0.24999999999999992,0.646420974363617
1975-03-14,0.75,0.24999999999999992,0.646420974363617
1975-03-21,0.75,0.24999999999999992,0.646420974363617
1975-03-28,0.75,0.24999999999999992,0.646420974363617
1975-04-04,0.75,0.24999999999999992,0.646420974363617
1975-04-11,0.75,0.24999999999999992,0.646420974363617
1975-04-18,0.75,0.24999999999999992,0.646420974363617
1975-04-25,0.75,0.24999999999999992,0.646420974363617
1975-05-02,0.75,0.24999999999999992,0.646420974363617
1975-05-09,0.75,0.24999999999999992,0.646420974363617
1975-05-16,0.75,0.24999999999999992,0.646420974363617
1975-05-23,0.75,0.24999999999999992,0.646420974363617
1975-05-30,0.75,0.24999999999999992,0.646420974363617
1975-06-06,0.7500000000000001,0.2499999999999999,0.44999999999999984
1975-06-13,0.7500000000000001,0.2499999999999999,0.44999999999999984
1975-06-20,0.7500000000000001,0.2499999999999999,0.44999999999999984
1975-06-27,0.7500000000000001,0.2499999999999999,0.44999999999999984
1975-07-04,0.7500000000000001,0.2499999999999999,0.44999999999999984
1975-07-11,0.7500000000000001,0.2499999999999999,0.44999999999999984
1975-07-18,0.7500000000000001,0.2499999999999999,0.44999999999999984
1975-07-25,0.7500000000000001,0.2499999999999999,0.44999999999999984
1975-08-01,0.5,0.5,0.4499999999999998
1975-08-08,0.5,0.5,0.4499999999999998
1975-08-15,0.5,0.5,0.4499999999999998
1975-08-22,0.5,0.5,0.4499999999999998
1975-08-29,0.5,0.5,0.4499999999999998
1975-09-05,0.5,0.5,0.4499999999999998
1975-09-12,0.5,0.5,0.4499999999999998
1975-09-19,0.5,0.5,0.4499999999999998
1975-09-26,0.2499999999999999,0.7500000000000001,0.44999999999999984
1975-10-03,0.2499999999999999,0.7500000000000001,0.44999999999999984
1975-10-10,0.2499999999999999,0.7500000000000001,0.44999999999999984
1975-10-17,0.2499999999999999,0.7500000000000001,0.44999999999999984
1975-10-24,0.2499999999999999,0.7500000000000001,0.44999999999999984
1975-10-31,0.7500000000000001,0.2499999999999999,0.446420974363617
1975-11-07,0.7500000000000001,0.2499999999999999,0.446420974363617
1975-11-14,0.7500000000000001,0.2499999999999999,0.446420974363617
1975-11-21,0.7500000000000001,0.2499999999999999,0.446420974363617
1975-11-28,0.7500000000000001,0.2499999999999999,0.446420974363617
1975-12-05,0.7500000000000001,0.2499999999999999,0.446420974363617
1975-12-12,0.7500000000000001,0.2499999999999999,0.446420974363617
1975-12-19,0.7500000000000001,0.2499999999999999,0.446420974363617
1975-12-26,0.7499999999999999,0.25000000000000006,0.4019765299191727
1976-01-02,0.7499999999999999,0.25000000000000006,0.4019765299191727
1976-01-09,0.7499999999999999,0.25000000000000006,0.4019765299191727
1976-01-16,0.7499999999999999,0.25000000000000006,0.4019765299191727
1976-01-23,0.7500000000000002,0.24999999999999983,0.3575320854747282
1976-01-30,0.7500000000000002,0.24999999999999983,0.3575320854747282
1976-02-06,0.7500000000000002,0.24999999999999983,0.3575320854747282
1976-02-13,0.7500000000000002,0.24999999999999983,0.3575320854747282
1976-02-20,0.7500000000000001,0.24999999999999992,0.3130876410302837
1976-02-27,0.7500000000000001,0.24999999999999992,0.3130876410302837
1976-03-05,0.7500000000000001,0.24999999999999992,0.3130876410302837
1976-03-12,0.7500000000000001,0.24999999999999992,0.3130876410302837
1976-03-19,0.75,0.25,0.2686431965858392
1976-03-26,0.75,0.25,0.2686431965858392
1976-04-02,0.75,0.25,0.2686431965858392
1976-04-09,0.75,0.25,0.2686431965858392
1976-04-16,0.75,0.25,0.2241987521413948
1976-04-23,0.75,0.25,0.2241987521413948
1976-04-30,0.75,0.25,0.2241987521413948
1976-05-07,0.5,0.5,0.2241987521413948
1976-05-14,0.5,0.5,0.1797543076969504
1976-05-21,0.5,0.5,0.1797543076969504
1976-05-28,0.5,0.5,0.1797543076969504
1976-06-04,0.5,0.5,0.1797543076969504
1976-06-11,0.5,0.5,0.1797543076969504
1976-06-18,0.5,0.5,0.1797543076969504
1976-06-25,0.5,0.5,0.1797543076969504
1976-07-02,0.5,0.5,0.1797543076969504
1976-07-09,0.5,0.5,0.1797543076969504
1976-07-16,0.5,0.5,0.1797543076969504
1976-07-23,0.5,0.5,0.1797543076969504
1976-07-30,0.5,0.5,0.1797543076969504
1976-08-06,0.5,0.5,0.1797543076969504
1976-08-13,0.5,0.5,0.1797543076969504
1976-08-20,0.5,0.5,0.1797543076969504
1976-08-27,0.5,0.5,0.1797543076969504
1976-09-03,0.5,0.5,0.1797543076969504
1976-09-10,0.5,0.5,0.1797543076969504
1976-09-17,0.5,0.5,0.1797543076969504
1976-09-24,0.5,0.5,0.1797543076969504
1976-10-01,0.5,0.5,0.1797543076969504
1976-10-08,0.5,0.5,0.1797543076969504
1976-10-15,0.5,0.5,0.1797543076969504
1976-10-22,0.5,0.5,0.1797543076969504
1976-10-29,0.5,0.5,0.1797543076969504
1976-11-05,0.5,0.5,0.1797543076969504
1976-11-12,0.5,0.5,0.1797543076969504
1976-11-19,0.5,0.5,0.1797543076969504
1976-11-26,0.5,0.5,0.1797543076969504
1976-12-03,0.5,0.5,0.1797543076969504
1976-12-10,0.5,0.5,0.1797543076969504
1976-12-17,0.5,0.5,0.1797543076969504
1976-12-24,0.5,0.5,0.1797543076969504
1976-12-31,0.5,0.5,0.1797543076969504
1977-01-07,0.5,0.5,0.1797543076969504
1977-01-14,0.5,0.5,0.1797543076969504
1977-01-21,0.5,0.5,0.1797543076969504
1977-01-28,0.5,0.5,0.1797543076969504
1977-02-04,0.5,0.5,0.1797543076969504
1977-02-11,0.5,0.5,0.1797543076969504
1977-02-18,0.5,0.5,0.1797543076969504
1977-02-25,0.5,0.5,0.1797543076969504
1977-03-04,0.5,0.5,0.1797543076969504
1977-03-11,0.5,0.5,0.1797543076969504
1977-03-18,0.5,0.5,0.1797543076969504
1977-03-25,0.5,0.5,0.1797543076969504
1977-04-01,0.5,0.5,0.1797543076969504
1977-04-08,0.5,0.5,0.1797543076969504
1977-04-15,0.5,0.5,0.1797543076969504
1977-04-22,0.5,0.5,0.1797543076969504
1977-04-29,0.5,0.5,0.1797543076969504
1977-05-06,0.25,0.7500000000000001,0.1797543076969504
1977-05-13,0.25,0.7500000000000001,0.1797543076969504
1977-05-20,0.25,0.7500000000000001,0.1797543076969504
1977-05-27,0.25,0.7500000000000001,0.1797543076969504
1977-06-03,0.25,0.7500000000000001,0.1797543076969504
1977-06-10,0.25,0.7500000000000001,0.1797543076969504
1977-06-17,0.25,0.7500000000000001,0.1797543076969504
1977-06-24,0.25,0.7500000000000001,0.1797543076969504
1977-07-01,0.0,1.0,0.35
1977-07-08,0.0,1.0,0.1797543076969504
1977-07-15,0.0,1.0,0.1797543076969504
1977-07-22,0.0,1.0,0.1797543076969504
1977-07-29,0.0,1.0,0.1797543076969504
1977-08-05,0.0,1.0,0.1797543076969504
1977-08-12,0.0,1.0,0.1797543076969504
1977-08-19,0.0,1.0,0.1797543076969504
1977-08-26,0.0,1.0,0.1797543076969504
1977-09-02,0.0,1.0,0.1797543076969504
1977-09-09,0.0,1.0,0.1797543076969504
1977-09-16,0.0,1.0,0.1797543076969504
1977-09-23,0.0,1.0,0.1797543076969504
1977-09-30,0.0,1.0,0.1797543076969504
1977-10-07,0.0,1.0,0.1797543076969504
1977-10-14,0.0,1.0,0.1797543076969504
1977-10-21,0.0,1.0,0.1797543076969504
1977-10-28,0.0,1.0,0.1797543076969504
1977-11-04,0.0,1.0,0.1797543076969504
1977-11-11,0.0,1.0,0.1797543076969504
1977-11-18,0.0,1.0,0.1797543076969504
1977-11-25,0.0,1.0,0.1797543076969504
1977-12-02,0.0,1.0,0.1797543076969504
1977-12-09,0.0,1.0,0.1797543076969504
1977-12-16,0.0,1.0,0.1797543076969504
1977-12-23,0.25000000000000006,0.75,0.34999999999999987
1977-12-30,0.25,0.7500000000000001,0.1797543076969504
1978-01-06,0.25000000000000006,0.75,0.34999999999999987
1978-01-13,0.25000000000000006,0.75,0.34999999999999987
1978-01-20,0.25000000000000006,0.75,0.34999999999999987
1978-01-27,0.25000000000000006,0.75,0.34999999999999987
1978-02-03,0.25000000000000006,0.75,0.34999999999999987
1978-02-10,0.25000000000000006,0.75,0.34999999999999987
1978-02-17,0.25000000000000006,0.75,0.34999999999999987
1978-02-24,0.25000000000000006,0.75,0.34999999999999987
1978-03-03,0.7500000000000001,0.25,0.1797543076969504
1978-03-10,0.7500000000000001,0.25,0.1797543076969504
1978-03-17,0.7500000000000001,0.25,0.1797543076969504
1978-03-24,0.7500000000000001,0.25,0.1797543076969504
1978-03-31,0.7500000000000001,0.25,0.1797543076969504
1978-04-07,0.7500000000000001,0.25,0.1797543076969504
1978-04-14,0.7500000000000001,0.25,0.1797543076969504
1978-04-21,0.7500000000000001,0.25,0.1797543076969504
1978-04-28,0.7500000000000001,0.25,0.1797543076969504
1978-05-05,0.5,0.5,0.35
1978-05-12,0.5,0.5,0.35
1978-05-19,0.5,0.5,0.35
1978-05-26,0.5,0.5,0.35
1978-06-02,0.5,0.5,0.35
1978-06-09,0.5,0.5,0.35
1978-06-16,0.5,0.5,0.35
1978-06-23,0.5,0.5,0.35
1978-06-30,0.5,0.5,0.35
1978-07-07,0.5,0.5,0.35
1978-07-14,0.5,0.5,0.35
1978-07-21,0.5,0.5,0.35
1978-07-28,0.5,0.5,0.35
1978-08-04,0.25,0.7500000000000001,0.1797543076969504
1978-08-11,0.25,0.7500000000000001,0.1797543076969504
1978-08-18,0.25,0.7500000000000001,0.1797543076969504
1978-08-25,0.25,0.7500000000000001,0.1797543076969504
1978-09-01,0.25,0.7500000000000001,0.1797543076969504
1978-09-08,0.25,0.7500000000000001,0.1797543076969504
1978-09-15,0.25,0.7500000000000001,0.1797543076969504
1978-09-22,0.0,1.0,0.35
1978-09-29,0.0,1.0,0.1797543076969504
1978-10-06,0.0,1.0,0.1797543076969504
1978-10-13,0.0,1.0,0.1797543076969504
1978-10-20,0.0,1.0,0.1797543076969504
1978-10-27,0.0,1.0,0.35
1978-11-03,0.0,1.0,0.35
1978-11-10,0.0,1.0,0.1797543076969504
1978-11-17,0.0,1.0,0.1797543076969504
1978-11-24,0.0,1.0,0.1797543076969504
1978-12-01,0.0,1.0,0.4499999999999999
1978-12-08,0.0,1.0,0.4499999999999999
1978-12-15,0.0,1.0,0.4499999999999999
1978-12-22,0.0,1.0,0.4499999999999999
1978-12-29,0.0,1.0,0.4499999999999999
1979-01-05,0.0,1.0,0.1797543076969504
1979-01-12,0.0,1.0,0.1797543076969504
1979-01-19,0.0,1.0,0.1797543076969504
1979-01-26,0.0,1.0,0.1797543076969504
1979-02-02,0.25000000000000006,0.75,0.34999999999999987
1979-02-09,0.25000000000000006,0.75,0.34999999999999987
1979-02-16,0.25000000000000006,0.75,0.34999999999999987
1979-02-23,0.25000000000000006,0.75,0.34999999999999987
1979-03-02,0.25000000000000006,0.75,0.34999999999999987
1979-03-09,0.25000000000000006,0.75,0.34999999999999987
1979-03-16,0.25000000000000006,0.75,0.34999999999999987
1979-03-23,0.25000000000000006,0.75,0.34999999999999987
1979-03-30,0.25000000000000006,0.75,0.34999999999999987
1979-04-06,0.25000000000000006,0.75,0.34999999999999987
1979-04-13,0.25000000000000006,0.75,0.34999999999999987
1979-04-20,0.25000000000000006,0.75,0.34999999999999987
1979-04-27,0.25000000000000006,0.75,0.34999999999999987
1979-05-04,0.25,0.7500000000000001,0.1797543076969504
1979-05-11,0.25,0.7500000000000001,0.1797543076969504
1979-05-18,0.25,0.7500000000000001,0.1797543076969504
1979-05-25,0.25,0.7500000000000001,0.1797543076969504
1979-06-01,0.25,0.7500000000000001,0.1797543076969504
1979-06-08,0.25,0.7500000000000001,0.1797543076969504
1979-06-15,0.25,0.7500000000000001,0.1797543076969504
1979-06-22,0.25,0.7500000000000001,0.1797543076969504
1979-06-29,0.25,0.7500000000000001,0.1797543076969504
1979-07-06,0.25,0.7500000000000001,0.1797543076969504
1979-07-13,0.25,0.7500000000000001,0.1797543076969504
1979-07-20,0.25,0.7500000000000001,0.1797543076969504
1979-07-27,0.25,0.7500000000000001,0.1797543076969504
1979-08-03,0.0,1.0,0.4499999999999999
1979-08-10,0.0,1.0,0.4499999999999999
1979-08-17,0.0,1.0,0.4499999999999999
1979-08-24,0.0,1.0,0.4499999999999999
1979-08-31,0.0,1.0,0.4499999999999999
1979-09-07,0.0,1.0,0.4499999999999999
1979-09-14,0.0,1.0,0.4499999999999999
1979-09-21,0.0,1.0,0.4499999999999999
1979-09-28,0.2499999999999999,0.7500000000000001,0.44999999999999984
1979-10-05,0.2499999999999999,0.7500000000000001,0.44999999999999984
1979-10-12,0.2499999999999999,0.7500000000000001,0.44999999999999984
1979-10-19,0.2499999999999999,0.7500000000000001,0.44999999999999984
1979-10-26,0.2499999999999999,0.7500000000000001,0.44999999999999984
1979-11-02,0.2499999999999999,0.7500000000000001,0.44999999999999984
1979-11-09,0.2499999999999999,0.7500000000000001,0.44999999999999984
1979-11-16,0.2499999999999999,0.7500000000000001,0.44999999999999984
1979-11-23,0.0,1.0,0.4499999999999999
1979-11-30,0.0,1.0,0.4499999999999999
1979-12-07,0.0,1.0,0.4499999999999999
1979-12-14,0.0,1.0,0.4499999999999999
1979-12-21,0.0,1.0,0.4499999999999999
1979-12-28,0.0,1.0,0.4499999999999999
1980-01-04,0.0,1.0,0.4499999999999999
1980-01-11,0.0,1.0,0.4499999999999999
1980-01-18,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-01-25,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-02-01,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-02-08,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-02-15,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-02-22,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-02-29,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-03-07,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-03-14,0.0,1.0,0.4499999999999999
1980-03-21,0.0,1.0,0.4499999999999999
1980-03-28,0.0,1.0,0.4499999999999999
1980-04-04,0.0,1.0,0.4499999999999999
1980-04-11,0.0,1.0,0.4499999999999999
1980-04-18,0.0,1.0,0.4499999999999999
1980-04-25,0.0,1.0,0.4499999999999999
1980-05-02,0.0,1.0,0.4499999999999999
1980-05-09,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-05-16,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-05-23,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-05-30,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-06-06,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-06-13,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-06-20,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-06-27,0.7500000000000001,0.2499999999999999,0.44999999999999984
1980-07-04,0.7500000000000001,0.2499999999999999,0.44999999999999984
1980-07-11,0.7500000000000001,0.2499999999999999,0.44999999999999984
1980-07-18,0.7500000000000001,0.2499999999999999,0.44999999999999984
1980-07-25,0.7500000000000001,0.2499999999999999,0.44999999999999984
1980-08-01,0.7500000000000001,0.2499999999999999,0.44999999999999984
1980-08-08,0.7500000000000001,0.2499999999999999,0.44999999999999984
1980-08-15,0.7500000000000001,0.2499999999999999,0.44999999999999984
1980-08-22,0.7500000000000001,0.2499999999999999,0.44999999999999984
1980-08-29,0.7500000000000001,0.2499999999999999,0.44999999999999984
1980-09-05,0.5,0.5,0.4499999999999998
1980-09-12,0.5,0.5,0.4499999999999998
1980-09-19,0.5,0.5,0.4499999999999998
1980-09-26,0.5,0.5,0.4499999999999998
1980-10-03,0.5,0.5,0.4499999999999998
1980-10-10,0.5,0.5,0.4499999999999998
1980-10-17,0.5,0.5,0.4499999999999998
1980-10-24,0.5,0.5,0.4499999999999998
1980-10-31,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-11-07,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-11-14,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-11-21,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-11-28,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-12-05,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-12-12,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-12-19,0.2499999999999999,0.7500000000000001,0.44999999999999984
1980-12-26,0.0,1.0,0.4499999999999999
1981-01-02,0.0,1.0,0.4499999999999999
1981-01-09,0.0,1.0,0.4499999999999999
1981-01-16,0.0,1.0,0.4499999999999999
1981-01-23,0.0,1.0,0.4499999999999999
1981-01-30,0.0,1.0,0.4499999999999999
1981-02-06,0.0,1.0,0.4499999999999999
1981-02-13,0.0,1.0,0.4499999999999999
1981-02-20,0.5,0.5,0.35
1981-02-27,0.5,0.5,0.35
1981-03-06,0.5,0.5,0.35
1981-03-13,0.5,0.5,0.35
1981-03-20,0.5,0.5,0.35
1981-03-27,0.5,0.5,0.35
1981-04-03,0.5,0.5,0.35
1981-04-10,0.5,0.5,0.35
1981-04-17,0.5,0.5,0.35
1981-04-24,0.5,0.5,0.35
1981-05-01,0.5,0.5,0.35
1981-05-08,0.5,0.5,0.35
1981-05-15,0.5,0.5,0.35
1981-05-22,0.5,0.5,0.35
1981-05-29,0.5,0.5,0.35
1981-06-05,0.5,0.5,0.35
1981-06-12,0.5,0.5,0.35
1981-06-19,0.5,0.5,0.35
1981-06-26,0.5,0.5,0.35
1981-07-03,0.5,0.5,0.1797543076969504
1981-07-10,0.5,0.5,0.1797543076969504
1981-07-17,0.5,0.5,0.1797543076969504
1981-07-24,0.5,0.5,0.1797543076969504
1981-07-31,0.5,0.5,0.1797543076969504
1981-08-07,0.5,0.5,0.35
1981-08-14,0.5,0.5,0.35
1981-08-21,0.5,0.5,0.35
1981-08-28,0.5,0.5,0.35
1981-09-04,0.5,0.5,0.35
1981-09-11,0.5,0.5,0.35
1981-09-18,0.5,0.5,0.35
1981-09-25,0.5,0.5,0.35
1981-10-02,0.7500000000000001,0.2499999999999999,0.44999999999999984
1981-10-09,0.7500000000000001,0.2499999999999999,0.44999999999999984
1981-10-16,0.7500000000000001,0.2499999999999999,0.44999999999999984
1981-10-23,0.7500000000000001,0.2499999999999999,0.44999999999999984
1981-10-30,0.7500000000000001,0.2499999999999999,0.44999999999999984
1981-11-06,0.7500000000000001,0.2499999999999999,0.44999999999999984
1981-11-13,0.7500000000000001,0.2499999999999999,0.44999999999999984
1981-11-20,0.7500000000000001,0.2499999999999999,0.44999999999999984
1981-11-27,0.7500000000000001,0.2499999999999999,0.44999999999999984
1981-12-04,0.7500000000000001,0.2499999999999999,0.44999999999999984
1981-12-11,0.7500000000000001,0.2499999999999999,0.44999999999999984
1981-12-18,0.7500000000000001,0.2499999999999999,0.44999999999999984
1981-12-25,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-01-01,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-01-08,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-01-15,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-01-22,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-01-29,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-02-05,0.5,0.5,0.4499999999999998
1982-02-12,0.5,0.5,0.4499999999999998
1982-02-19,0.5,0.5,0.4499999999999998
1982-02-26,0.5,0.5,0.4499999999999998
1982-03-05,0.5,0.5,0.4499999999999998
1982-03-12,0.5,0.5,0.4499999999999998
1982-03-19,0.5,0.5,0.4499999999999998
1982-03-26,0.5,0.5,0.4499999999999998
1982-04-02,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-04-09,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-04-16,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-04-23,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-04-30,0.7500000000000001,0.25,0.1797543076969504
1982-05-07,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-05-14,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-05-21,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-05-28,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-06-04,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-06-11,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-06-18,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-06-25,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-07-02,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-07-09,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-07-16,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-07-23,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-07-30,0.7500000000000001,0.2499999999999999,0.44999999999999984
1982-08-06,0.7500000000000001,0.25,0.1797543076969504
1982-08-13,0.7500000000000001,0.25,0.1797543076969504
1982-08-20,0.7500000000000001,0.25,0.1797543076969504
1982-08-27,0.7500000000000001,0.25,0.1797543076969504
1982-09-03,0.7500000000000001,0.25,0.1797543076969504
1982-09-10,0.7500000000000001,0.25,0.1797543076969504
1982-09-17,0.7500000000000001,0.25,0.1797543076969504
1982-09-24,0.7500000000000001,0.25,0.1797543076969504
1982-10-01,0.7500000000000001,0.2499999999999999,0.446420974363617
1982-10-08,0.7500000000000001,0.2499999999999999,0.446420974363617
1982-10-15,0.7500000000000001,0.2499999999999999,0.446420974363617
1982-10-22,0.7500000000000001,0.2499999999999999,0.446420974363617
1982-10-29,0.7500000000000001,0.2499999999999999,0.446420974363617
1982-11-05,0.7500000000000001,0.2499999999999999,0.446420974363617
1982-11-12,0.7500000000000001,0.2499999999999999,0.446420974363617
1982-11-19,0.7500000000000001,0.2499999999999999,0.446420974363617
1982-11-26,0.7500000000000001,0.2499999999999999,0.446420974363617
1982-12-03,0.7500000000000001,0.2499999999999999,0.446420974363617
1982-12-10,0.7500000000000001,0.2499999999999999,0.446420974363617
1982-12-17,0.7500000000000001,0.2499999999999999,0.446420974363617
1982-12-24,0.7500000000000001,0.2499999999999999,0.446420974363617
1982-12-31,0.7500000000000001,0.2499999999999999,0.446420974363617
1983-01-07,0.7500000000000001,0.2499999999999999,0.446420974363617
1983-01-14,0.7500000000000001,0.2499999999999999,0.446420974363617
1983-01-21,0.7500000000000001,0.2499999999999999,0.446420974363617
